1,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,7.55
2,Neon Genesis Evangelion: The End of Evangelion,99,Movie,1,Jul 1997 - Jul 1997,8.55
3,Templex,11445,Movie,1,2015 - 2015,5.29
4,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,7.36
5,Toaru Majutsu no Index-tan III,6679,Special,2,Dec 2018 - Apr 2019,6.44
6,Hana to Mogura,10991,Movie,1,1970 - 1970,5.45
7,Drifters (OVA): Kokuou-sama Goranshin,7084,Special,1,Dec 2017 - Dec 2017,6.37
8,Himitsukessha Taka no Tsume,8653,TV,11,Apr 2006 - Jun 2006,6.05
9,Nyanpire The Animation,5629,TV,12,Jul 2011 - Sep 2011,6.65
10,.hack//Intermezzo,6284,Special,1,Mar 2003 - Mar 2003,6.52
11,Banana Fish,133,TV,24,Jul 2018 - Dec 2018,8.48
12,Persona 4 the Animation,1729,TV,25,Oct 2011 - Mar 2012,7.5
13,Jirijiri Moyou no Ryuuryuu Tenten,10898,ONA,1,Jul 2012 - Jul 2012,5.48
14,Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,8.06
15,Himote House,10273,TV,12,Oct 2018 - Dec 2018,5.66
16,Precure All Stars Movie New Stage: Mirai no Tomodachi,3309,Movie,1,Mar 2012 - Mar 2012,7.15
17,Super Bikkuriman,6982,TV,44,May 1992 - Apr 1993,6.39
18,Katarina Nounai Kaigi X,10468,ONA,23,Jun 2021 - Sep 2021,5.61
19,Ring ni Kakero 1: Sekai Taikai-hen,6814,TV,6,Apr 2011 - Jun 2011,6.42
20,Kageyama Tamio no Double Fantasy,9139,Special,1,Jan 1994 - Jan 1994,5.94
21,Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,6.93
22,Hi☆sCoool! SeHa Girls,6498,TV,13,Oct 2014 - Dec 2014,6.48
23,Kyuuketsuhime Miyu (TV),3271,TV,26,Oct 1997 - Mar 1998,7.16
24,Landscape,12441,Movie,1,2004 - 2004,4.65
25,Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,7.36
26,Puparia,1347,ONA,1,Nov 2020 - Nov 2020,7.62
27,Kobato.,651,TV,24,Oct 2009 - Mar 2010,7.95
28,DD Hokuto no Ken,8643,TV,12,Jan 2011 - Apr 2011,6.05
29,Princess Connect! Re:Dive,3793,TV,13,Apr 2020 - Jun 2020,7.05
30,Miyako,9223,ONA,1,Sep 2012 - Sep 2012,5.92
31,Bungou to Alchemist: Shinpan no Haguruma,6474,TV,13,Apr 2020 - Aug 2020,6.49
32,Kiddy GiRL-AND Pilot,5717,OVA,1,May 2007 - May 2007,6.63
33,Hendo Garden,12013,Special,1,Jun 2015 - Jun 2015,5.01
34,Diabolik Lovers OVA,10089,OVA,1,Feb 2015 - Feb 2015,5.71
35,Tenkuu Senki Shurato,3163,TV,38,Apr 1989 - Jan 1990,7.18
36,Norimono Oukoku BuBu ChaCha,5727,TV,26,Apr 1999 - Nov 1999,6.63
37,Urvan,9562,ONA,1,Feb 2021 - Feb 2021,5.84
38,Muhyo to Rouji no Mahouritsu Soudan Jimusho,5328,TV,12,Aug 2018 - Oct 2018,6.71
39,Hokuto no Ken: Yuria-den,3628,OVA,1,Feb 2007 - Feb 2007,7.09
40,Zettai Shougeki: Platonic Heart,12506,OVA,5,Oct 2008 - Feb 2009,4.59
41,Detective Conan Movie 15: Quarter of Silence,590,Movie,1,Apr 2011 - Apr 2011,8
